Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",AUS,Australia,Australia and New Zealand,Oceania,,,1990,
Geophysical,Mass movement (dry),Landslide (dry),CHN,China,Eastern Asia,Asia,,,1990,4
Hydrological,Flood,Riverine flood,LSO,Lesotho,Sub-Saharan Africa,Africa,,,1990,22
Meteorological,Storm,Storm (General),KOR,Republic of Korea,Eastern Asia,Asia,,,1990,27
Hydrological,Flood,Riverine flood,PER,Peru,Latin America and the Caribbean,Americas,,,1990,20
Hydrological,Mass movement (wet),Avalanche (wet),IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1990,21
Hydrological,Flood,Riverine flood,PER,Peru,Latin America and the Caribbean,Americas,,,1990,21
Hydrological,Mass movement (wet),Landslide (wet),PER,Peru,Latin America and the Caribbean,Americas,,,1990,33
Climatological,Wildfire,Forest fire,ITA,Italy,Southern Europe,Europe,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,15
Meteorological,Storm,Tornado,ZAF,South Africa,Sub-Saharan Africa,Africa,,,1990,2
Meteorological,Storm,Storm (General),CHN,China,Eastern Asia,Asia,,,1990,36
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Riverine flood,KEN,Kenya,Sub-Saharan Africa,Africa,,,1990,44
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Riverine flood,SUN,Soviet Union,Eastern Europe,Europe,,,1990,14
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Meteorological,Extreme temperature,Heat wave,MEX,Mexico,Latin America and the Caribbean,Americas,,,1990,380
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,13
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Meteorological,Storm,Severe weather,AUT,Austria,Western Europe,Europe,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,10
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,21
Meteorological,Extreme temperature,Heat wave,USA,United States of America,Northern America,Americas,,,1990,11
Meteorological,Storm,Severe weather,AUT,Austria,Western Europe,Europe,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Riverine flood,SUN,Soviet Union,Eastern Europe,Europe,,,1990,5
Meteorological,Extreme temperature,Heat wave,KOR,Republic of Korea,Eastern Asia,Asia,,,1990,40
Meteorological,Storm,Storm (General),CHE,Switzerland,Western Europe,Europe,,,1990,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1990,108
Climatological,Wildfire,Forest fire,ITA,Italy,Southern Europe,Europe,,,1990,
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,1990,38
Meteorological,Storm,Severe weather,IND,India,Southern Asia,Asia,,,1990,500
Meteorological,Storm,Severe weather,IND,India,Southern Asia,Asia,,,1990,120
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,24
Hydrological,Flood,Riverine flood,NPL,Nepal,Southern Asia,Asia,,,1990,30
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1990,85
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1990,85
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1990,115
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1990,26
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,Asia,,,1990,30
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1990,40
Meteorological,Storm,Tropical cyclone,THA,Thailand,South-eastern Asia,Asia,,,1990,36
Hydrological,Flood,Flash flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,1990,17
Hydrological,Flood,Riverine flood,IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1990,
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1990,60
Hydrological,Flood,Riverine flood,YUG,Yugoslavia,Southern Europe,Europe,,,1990,
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,1990,68
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,1990,
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1990,79
Meteorological,Storm,Storm (General),BGD,Bangladesh,Southern Asia,Asia,,,1990,250
Meteorological,Storm,Tropical cyclone,AUS,Australia,Australia and New Zealand,Oceania,,,1990,
Meteorological,Extreme temperature,Cold wave,IND,India,Southern Asia,Asia,,,1990,86
Meteorological,Extreme temperature,Cold wave,BGD,Bangladesh,Southern Asia,Asia,,,1990,67
Biological,Epidemic,Viral disease,GTM,Guatemala,Latin America and the Caribbean,Americas,,,1990,200
Biological,Epidemic,Viral disease,NGA,Nigeria,Sub-Saharan Africa,Africa,,,1990,60
Hydrological,Flood,Riverine flood,JPN,Japan,Eastern Asia,Asia,,,1990,27
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1990,370
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1990,250
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1990,5
Hydrological,Flood,Riverine flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,1990,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1990,74
Biological,Epidemic,Infectious disease (General),IND,India,Southern Asia,Asia,,,1990,90
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1990,68
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,3.908,97.457,1990,1
Biological,Epidemic,Bacterial disease,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Riverine flood,MEX,Mexico,Latin America and the Caribbean,Americas,,,1990,45
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,40.854,73.553,1990,
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,Asia,,,1990,
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,1990,15
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,,,1990,65
Hydrological,Flood,Riverine flood,CUB,Cuba,Latin America and the Caribbean,Americas,,,1990,
Climatological,Wildfire,Forest fire,MNG,Mongolia,Eastern Asia,Asia,,,1990,
Hydrological,Flood,Coastal flood,PHL,Philippines,South-eastern Asia,Asia,,,1990,28
Biological,Epidemic,Bacterial disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,1990,197
Biological,Epidemic,Viral disease,PHL,Philippines,South-eastern Asia,Asia,,,1990,21
Biological,Epidemic,Parasitic disease,IND,India,Southern Asia,Asia,,,1990,58
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1990,16
Meteorological,Extreme temperature,Cold wave,IND,India,Southern Asia,Asia,,,1990,178
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,Asia,,,1990,18
Hydrological,Flood,Flood (General),ARG,Argentina,Latin America and the Caribbean,Americas,,,1990,21
Hydrological,Flood,Flood (General),CHL,Chile,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Flood (General),CUB,Cuba,Latin America and the Caribbean,Americas,,,1990,4
Meteorological,Extreme temperature,Cold wave,BLZ,Belize,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Flood (General),BLZ,Belize,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Riverine flood,CAN,Canada,Northern America,Americas,,,1990,8
Hydrological,Flood,Flood (General),PHL,Philippines,South-eastern Asia,Asia,,,1990,50
Hydrological,Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,,,1990,
Hydrological,Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,,,1990,10
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1990,
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1990,
Meteorological,Storm,Tornado,CHN,China,Eastern Asia,Asia,,,1990,2
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1990,60
Biological,Epidemic,Viral disease,COK,Cook Islands,Polynesia,Oceania,,,1990,7
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-9.904,101.12,1990,
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,37.885,-121.983,1990,
Geophysical,Earthquake,Ground movement,ZAF,South Africa,Sub-Saharan Africa,Africa,-26.39,27.349,1990,10
Meteorological,Extreme temperature,Cold wave,BGD,Bangladesh,Southern Asia,Asia,,,1990,50
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,,,1990,3
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,,,1990,22
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,1990,7
Hydrological,Flood,Riverine flood,SUN,Soviet Union,Eastern Europe,Europe,,,1990,
Hydrological,Flood,Flood (General),SUN,Soviet Union,Eastern Europe,Europe,,,1990,
Hydrological,Flood,Flash flood,USA,United States of America,Northern America,Americas,,,1990,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1990,21
Meteorological,Storm,Hail,CHN,China,Eastern Asia,Asia,,,1990,33
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,10
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,8
Meteorological,Storm,Storm (General),DNK,Denmark,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FIN,Finland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,47
Meteorological,Storm,Storm (General),IRL,Ireland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,20
Meteorological,Storm,Storm (General),NOR,Norway,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),POL,Poland,Eastern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),SWE,Sweden,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,7
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,23
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),IRL,Ireland,Northern Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),AUT,Austria,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),CHE,Switzerland,Western Europe,Europe,,,1990,3
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,10
Meteorological,Storm,Storm (General),ESP,Spain,Southern Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),AUT,Austria,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,5
Meteorological,Storm,Storm (General),CHE,Switzerland,Western Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,15
Meteorological,Storm,Storm (General),DNK,Denmark,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FIN,Finland,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,10
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,18
Meteorological,Storm,Storm (General),IRL,Ireland,Northern Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NOR,Norway,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),SWE,Sweden,Northern Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),AUT,Austria,Western Europe,Europe,,,1990,3
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),CHE,Switzerland,Western Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1990,24
Meteorological,Storm,Storm (General),DNK,Denmark,Northern Europe,Europe,,,1990,1
Meteorological,Storm,Storm (General),FRA,France,Western Europe,Europe,,,1990,10
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1990,18
Meteorological,Storm,Storm (General),GRC,Greece,Southern Europe,Europe,,,1990,3
Meteorological,Storm,Storm (General),ITA,Italy,Southern Europe,Europe,,,1990,6
Meteorological,Storm,Storm (General),LUX,Luxembourg,Western Europe,Europe,,,1990,
Meteorological,Storm,Storm (General),NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,1990,
Hydrological,Flood,Coastal flood,AUS,Australia,Australia and New Zealand,Oceania,,,1990,6
Climatological,Drought,Drought,ESP,Spain,Southern Europe,Europe,,,1990,
Climatological,Drought,Drought,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,1990,
Climatological,Drought,Drought,PER,Peru,Latin America and the Caribbean,Americas,,,1990,
Climatological,Drought,Drought,SDN,Sudan,Northern Africa,Africa,,,1990,
Climatological,Drought,Drought,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,1990,
Climatological,Drought,Drought,CMR,Cameroon,Sub-Saharan Africa,Africa,,,1990,
Climatological,Drought,Drought,GRC,Greece,Southern Europe,Europe,,,1990,
Climatological,Drought,Drought,NER,Niger,Sub-Saharan Africa,Africa,,,1990,
Climatological,Drought,Drought,BWA,Botswana,Sub-Saharan Africa,Africa,,,1992,
Climatological,Drought,Drought,LSO,Lesotho,Sub-Saharan Africa,Africa,,,1992,
Climatological,Drought,Drought,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,MWI,Malawi,Sub-Saharan Africa,Africa,,,1990,
Climatological,Drought,Drought,NAM,Namibia,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,SWZ,Eswatini,Sub-Saharan Africa,Africa,,,1990,
Climatological,Drought,Drought,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,ZAF,South Africa,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,ZMB,Zambia,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,,,1991,
Climatological,Drought,Drought,PHL,Philippines,South-eastern Asia,Asia,,,1990,
Climatological,Drought,Drought,YUG,Yugoslavia,Southern Europe,Europe,,,1990,
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,23.5,96.3,1991,
Meteorological,Storm,Storm (General),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,1991,48
Meteorological,Storm,Storm (General),DEU,Germany,Western Europe,Europe,,,1991,
Meteorological,Storm,Storm (General),IRL,Ireland,Northern Europe,Europe,,,1991,
Meteorological,Extreme temperature,Cold wave,AFG,Afghanistan,Southern Asia,Asia,,,1991,80
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,Asia,,,1991,33
Meteorological,Extreme temperature,Cold wave,FRA,France,Western Europe,Europe,,,1991,20
Hydrological,Mass movement (wet),Avalanche (wet),PAK,Pakistan,Southern Asia,Asia,,,1991,25
Hydrological,Flood,Riverine flood,IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1991,6
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,1991,415
Geophysical,Earthquake,Ground movement,AFG,Afghanistan,Southern Asia,Asia,38.993,70.423,1991,130
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,38.993,70.423,1991,300
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,35.883,70.423,1991,3
Meteorological,Extreme temperature,Cold wave,GRC,Greece,Southern Europe,Europe,,,1991,5
Biological,Epidemic,Bacterial disease,PER,Peru,Latin America and the Caribbean,Americas,,,1991,1726
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,40.3,78.9,1991,
Geophysical,Mass movement (dry),Rockfall (dry),GTM,Guatemala,Latin America and the Caribbean,Americas,,,1991,23
Climatological,Wildfire,Forest fire,ZAF,South Africa,Sub-Saharan Africa,Africa,,,1991,5
Hydrological,Flood,Flash flood,MWI,Malawi,Sub-Saharan Africa,Africa,,,1991,472
Meteorological,Storm,Hail,CHN,China,Eastern Asia,Asia,,,1991,69
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,60.7,167.2,1991,
Hydrological,Mass movement (wet),Landslide (wet),PNG,Papua New Guinea,Melanesia,Oceania,,,1991,200
Biological,Epidemic,Bacterial disease,ZMB,Zambia,Sub-Saharan Africa,Africa,,,1991,
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-5.982,-77.094,1991,53
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,,,1991,
Biological,Epidemic,Bacterial disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,1991,100
Biological,Epidemic,Bacterial disease,IDN,Indonesia,South-eastern Asia,Asia,,,1991,55
Geophysical,Mass movement (dry),Landslide (dry),ETH,Ethiopia,Sub-Saharan Africa,Africa,,,1991,13
Biological,Epidemic,Infectious disease (General),BGD,Bangladesh,Southern Asia,Asia,,,1991,1000
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,14,121,1991,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,39.8,173.9,1991,1
Biological,Epidemic,Viral disease,NER,Niger,Sub-Saharan Africa,Africa,,,1991,2618
Biological,Epidemic,Bacterial disease,SDN,Sudan,Northern Africa,Africa,,,1991,12
Biological,Epidemic,Viral disease,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,,,1991,500
Hydrological,Flood,Flash flood,EGY,Egypt,Northern Africa,Africa,,,1991,1
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,1991,20
Geophysical,Earthquake,Ground movement,CRI,Costa Rica,Latin America and the Caribbean,Americas,9.685,-83.073,1991,47
Geophysical,Earthquake,Ground movement,PAN,Panama,Latin America and the Caribbean,Americas,9.685,-83.073,1991,30
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,42.15,42.44,1991,270
Hydrological,Flood,Flood (General),URY,Uruguay,Latin America and the Caribbean,Americas,,,1991,
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1991,138866
Geophysical,Earthquake,Ground movement,GEO,Georgia,Western Asia,Asia,42.8,44,1991,8
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1991,1729
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,1.196,122.787,1991,
Meteorological,Storm,Tropical cyclone,MUS,Mauritius,Sub-Saharan Africa,Africa,,,1991,
Climatological,Wildfire,Forest fire,COL,Colombia,Latin America and the Caribbean,Americas,,,1991,
Hydrological,Flood,Flash flood,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1991,15
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,1991,45
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,1991,728
Meteorological,Storm,Severe weather,MDV,Maldives,Southern Asia,Asia,,,1991,
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,15.13,120.35,1991,640
Biological,Epidemic,Bacterial disease,BRA,Brazil,Latin America and the Caribbean,Americas,,,1991,196
Biological,Epidemic,Bacterial disease,CHL,Chile,Latin America and the Caribbean,Americas,,,1991,1
Biological,Epidemic,Bacterial disease,COL,Colombia,Latin America and the Caribbean,Americas,,,1991,350
Biological,Epidemic,Bacterial disease,ECU,Ecuador,Latin America and the Caribbean,Americas,,,1991,343
Meteorological,Storm,Severe weather,AUS,Australia,Australia and New Zealand,Oceania,,,1991,
Hydrological,Flood,Flood (General),DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1991,10
Biological,Epidemic,Bacterial disease,NGA,Nigeria,Sub-Saharan Africa,Africa,,,1991,7289
Biological,Epidemic,Infectious disease (General),IDN,Indonesia,South-eastern Asia,Asia,,,1991,115
Geophysical,Mass movement (dry),Landslide (dry),SUN,Soviet Union,Eastern Europe,Europe,,,1991,50
Hydrological,Flood,Flood (General),SUN,Soviet Union,Eastern Europe,Europe,,,1991,
Biological,Epidemic,Bacterial disease,DZA,Algeria,Northern Africa,Africa,,,1991,
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-8.099,125.681,1991,28
Hydrological,Flood,Riverine flood,MMR,Myanmar,South-eastern Asia,Asia,,,1991,23
Hydrological,Flood,Riverine flood,BEN,Benin,Sub-Saharan Africa,Africa,,,1991,3
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,,,1991,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1991,100
Hydrological,Flood,Riverine flood,ROU,Romania,Eastern Europe,Europe,,,1991,108
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-15.679,-71.274,1991,11
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1991,2
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,1991,50
Hydrological,Flood,Riverine flood,KOR,Republic of Korea,Eastern Asia,Asia,,,1991,54
Biological,Epidemic,Bacterial disease,MEX,Mexico,Latin America and the Caribbean,Americas,,,1991,52
Biological,Epidemic,Bacterial disease,CHN,China,Eastern Asia,Asia,,,1991,1075
Biological,Epidemic,Bacterial disease,NER,Niger,Sub-Saharan Africa,Africa,,,1991,224
Hydrological,Flood,Riverine flood,GHA,Ghana,Sub-Saharan Africa,Africa,,,1991,5
Hydrological,Flood,Coastal flood,IND,India,Southern Asia,Asia,,,1991,59
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,34.1,-118.09,1991,2
Geophysical,Volcanic activity,Ash fall,COM,Comoros,Sub-Saharan Africa,Africa,,,1991,
Hydrological,Flood,Riverine flood,CRI,Costa Rica,Latin America and the Caribbean,Americas,,,1991,1
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,1991,17
Hydrological,Flood,Riverine flood,KHM,Cambodia,South-eastern Asia,Asia,,,1991,100
Geophysical,Volcanic activity,Ash fall,CHL,Chile,Latin America and the Caribbean,Americas,-45.54,-72.58,1991,
Hydrological,Flood,Riverine flood,PAN,Panama,Latin America and the Caribbean,Americas,,,1991,12
Biological,Epidemic,Infectious disease (General),PER,Peru,Latin America and the Caribbean,Americas,,,1991,8000
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1991,18
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1991,22
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,1991,33
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,,,1991,65
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1991,14
Hydrological,Mass movement (wet),Mudslide,CHN,China,Eastern Asia,Asia,,,1991,200
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,Asia,,,1991,26
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,32.75,130.3,1991,43
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,1991,21
Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,14.646,-90.986,1991,14
Geophysical,Earthquake,Ground movement,IRQ,Iraq,Western Asia,Asia,36.12,44.01,1991,20
Biological,Epidemic,Bacterial disease,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,1991,37
Hydrological,Mass movement (wet),Mudslide,CHL,Chile,Latin America and the Caribbean,Americas,,,1991,141
Biological,Epidemic,Bacterial disease,CMR,Cameroon,Sub-Saharan Africa,Africa,,,1991,308
Biological,Epidemic,Bacterial disease,TCD,Chad,Sub-Saharan Africa,Africa,,,1991,1262
Meteorological,Extreme temperature,Cold wave,PER,Peru,Latin America and the Caribbean,Americas,,,1991,25
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1991,72
Meteorological,Extreme temperature,Heat wave,PAK,Pakistan,Southern Asia,Asia,,,1991,523
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,30.6,50.2,1991,
Hydrological,Flood,Riverine flood,TCD,Chad,Sub-Saharan Africa,Africa,,,1991,39
Hydrological,Flood,Riverine flood,CMR,Cameroon,Sub-Saharan Africa,Africa,,,1991,2
Geophysical,Volcanic activity,Ash fall,CRI,Costa Rica,Latin America and the Caribbean,Americas,14.4,-90.6,1991,
